,LMP
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,16.970947
13,19.430296
14,18.463561
15,0.0
16,19.68943
17,25.974208
18,23.128644
19,23.128644
20,23.069973
21,21.288154
22,73.069973
23,21.288154
24,21.116714
25,72.492854
26,72.492854
27,72.732362
28,21.843654
29,20.419098
30,21.287879
31,72.492854
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,18.072542
49,0.0
50,0.0
51,18.072542
52,70.419098
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,19.034775
67,20.419098
68,22.516066
69,22.732362
70,23.069973
71,23.069973
72,24.617414
73,23.206766
74,23.206766
75,23.128644
76,23.128644
77,23.206766
78,24.617414
79,74.617414
80,21.116714
81,18.861019
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,49.660639
139,71.288154
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,19.68943
210,20.419098
211,0.0
212,19.983547
213,19.983547
214,19.034775
215,0.0
216,0.0
217,0.0
218,0.0
219,18.072542
220,19.034775
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,19.034775
240,0.0
241,0.0
242,19.034775
243,0.0
244,0.0
245,20.419098
246,21.647258
247,73.128644
248,19.68943
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,20.419098
258,20.400003
259,18.573789
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,70.419098
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,21.288154
282,76.429316
283,80.277405
284,80.277405
285,76.429316
286,73.657594
287,22.516066
288,22.96816
289,18.861019
290,15.731586
291,0.0
292,0.0
293,0.0
294,20.846138
295,80.277405
296,76.324557
297,21.287879
298,19.68943
299,18.861019
300,14.191367
301,0.0
302,0.0
303,0.0
304,0.0
305,74.617414
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,10.457912
318,19.983547
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,18.573789
330,20.400003
331,19.68943
332,21.843654
333,22.96816
334,22.96816
335,21.116714
336,22.516066
337,21.288154
338,19.034775
339,18.573789
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,19.430296
354,21.116714
355,21.843654
356,21.287879
357,20.846138
358,19.68943
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,20.846138
405,71.287879
406,20.400003
407,0.0
408,18.463561
409,19.430296
410,18.861019
411,19.68943
412,19.68943
413,18.861019
414,19.68943
415,72.96816
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,22.576747
426,23.128644
427,23.657594
428,23.206766
429,23.657594
430,23.128644
431,22.732362
432,23.069973
433,22.732362
434,22.96816
435,22.96816
436,23.069973
437,23.206766
438,23.657594
439,76.790897
440,21.116411
441,14.191367
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,18.072542
449,24.617414
450,76.790897
451,76.404825
452,77.050889
453,86.124055
454,77.050889
455,127.274563
456,20.400003
457,20.400003
458,20.846138
459,73.069973
460,73.657594
461,73.437807
462,73.437807
463,73.437807
464,19.68943
465,16.970947
466,18.861019
467,18.861019
468,18.861019
469,19.034775
470,19.983547
471,19.034775
472,18.463561
473,25.9087
474,26.755559
475,26.429316
476,26.429316
477,26.324557
478,23.437807
479,22.732362
480,23.206766
481,23.128644
482,23.128644
483,23.069973
484,23.128644
485,74.617414
486,77.274563
487,500.0
488,127.050889
489,71.647258
490,19.983547
491,19.68943
492,19.68943
493,19.983547
494,20.419098
495,20.419098
496,19.983547
497,76.110776
498,76.599184
499,79.014366
500,26.016455
501,77.74094
502,22.96816
503,23.437807
504,23.206766
505,23.206766
506,23.437807
507,23.437807
508,23.657594
509,74.617414
510,74.617414
511,22.492854
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,14.191367
518,16.970947
519,0.0
520,18.573789
521,23.657594
522,24.617414
523,23.069973
524,22.492854
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
